endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
projects/tasks,POST,1,0.009469032287597656,25.0,54.3
projects/tasks,POST,5,0.0026160240173339843,12.58,54.3
projects/tasks,POST,8,0.002393573522567749,16.7875,54.300000000000004
projects/tasks,POST,10,0.0021787643432617187,20.16,54.3
projects/tasks,POST,20,0.0020454049110412596,4.465,54.299999999999976
projects/tasks,POST,30,0.0019626379013061523,8.080000000000002,54.29999999999997
projects/tasks,POST,40,0.0018497765064239501,8.8325,54.299999999999976
projects/tasks,POST,50,0.002053365707397461,11.17,54.30000000000002
projects/tasks,POST,100,0.002217743396759033,12.238999999999999,54.3000000000001
projects/tasks,DELETE,1,0.001943826675415039,0.0,54.3
projects/tasks,DELETE,5,0.001996278762817383,10.66,54.3
projects/tasks,DELETE,8,0.002167999744415283,11.45,54.300000000000004
projects/tasks,DELETE,10,0.0020030975341796876,9.16,54.3
projects/tasks,DELETE,20,0.0020059943199157715,10.75,54.299999999999976
projects/tasks,DELETE,30,0.0020476420720418292,8.163333333333334,54.29999999999997
projects/tasks,DELETE,40,0.002076113224029541,11.415000000000001,54.299999999999976
projects/tasks,DELETE,50,0.0023974990844726563,17.918,54.30000000000002
projects/tasks,DELETE,100,0.0020407629013061523,11.97,54.3000000000001
