endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
todos/categories,POST,1,0.009069204330444336,13.3,54.7
todos/categories,POST,5,0.0026517868041992187,16.580000000000002,54.7
todos/categories,POST,8,0.0025111734867095947,17.6,54.699999999999996
todos/categories,POST,10,0.002467632293701172,17.66,54.7
todos/categories,POST,20,0.0023077249526977537,11.629999999999999,54.700000000000024
todos/categories,POST,30,0.0022893905639648437,7.003333333333332,54.70000000000003
todos/categories,POST,40,0.001993560791015625,9.99,54.700000000000024
todos/categories,POST,50,0.0022280120849609373,11.508000000000003,54.69999999999998
todos/categories,POST,100,0.0026779985427856446,12.94,54.743999999999986
todos/categories,DELETE,1,0.0024869441986083984,0.0,54.8
todos/categories,DELETE,5,0.002365875244140625,23.0,54.8
todos/categories,DELETE,8,0.0022094547748565674,0.0,54.800000000000004
todos/categories,DELETE,10,0.002158451080322266,10.67,54.8
todos/categories,DELETE,20,0.0021904587745666506,7.545,54.799999999999976
todos/categories,DELETE,30,0.0021906137466430665,10.223333333333333,54.79999999999997
todos/categories,DELETE,40,0.0025095224380493166,16.375000000000004,54.799999999999976
todos/categories,DELETE,50,0.002434444427490234,12.951999999999998,54.80000000000002
todos/categories,DELETE,100,0.0020966553688049317,8.703,54.8000000000001
