endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
categories/todos,POST,1,0.008213043212890625,7.1,54.6
categories/todos,POST,5,0.002654552459716797,0.0,54.58
categories/todos,POST,8,0.0024290382862091064,13.0375,54.60000000000001
categories/todos,POST,10,0.0021329164505004884,7.0,54.60000000000001
categories/todos,POST,20,0.0020111083984375,9.584999999999999,54.60000000000001
categories/todos,POST,30,0.0022271076838175454,18.953333333333333,54.59999999999998
categories/todos,POST,40,0.0020329654216766357,14.815000000000001,54.599999999999966
categories/todos,POST,50,0.0020043134689331056,14.726,54.59999999999995
categories/todos,POST,100,0.0019488215446472168,8.241,54.600000000000044
categories/todos,DELETE,1,0.0017778873443603516,33.3,54.6
categories/todos,DELETE,5,0.001785421371459961,11.66,54.6
categories/todos,DELETE,8,0.0017977356910705566,0.0,54.60000000000001
categories/todos,DELETE,10,0.0018049955368041992,7.0,54.60000000000001
categories/todos,DELETE,20,0.0017961382865905762,7.915000000000001,54.60000000000001
categories/todos,DELETE,30,0.0018149137496948243,8.72,54.59999999999998
categories/todos,DELETE,40,0.0019245564937591553,13.290000000000001,54.584999999999965
categories/todos,DELETE,50,0.002053518295288086,22.79,54.545999999999964
categories/todos,DELETE,100,0.001845681667327881,8.186999999999998,54.507
