endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
projects,POST,1,0.02519392967224121,11.4,52.8
projects,POST,5,0.0022910594940185546,0.0,52.8
projects,POST,8,0.0020051300525665283,4.1625,52.800000000000004
projects,POST,10,0.0020513534545898438,17.16,52.8
projects,POST,20,0.002010047435760498,13.495,52.799999999999976
projects,POST,30,0.0019475777943929037,12.176666666666668,52.79999999999997
projects,POST,40,0.0020071566104888916,13.079999999999998,52.85750000000004
projects,POST,50,0.002057771682739258,11.618000000000002,52.90000000000005
projects,POST,100,0.0020618081092834474,9.624999999999998,52.89999999999996
projects,PUT,1,0.0026159286499023438,16.7,52.9
projects,PUT,5,0.0027979373931884765,10.86,52.9
projects,PUT,8,0.002482980489730835,16.875,52.89999999999999
projects,PUT,10,0.0024619102478027344,10.83,52.89999999999999
projects,PUT,20,0.0022056221961975096,7.25,52.89999999999999
projects,PUT,30,0.002207454045613607,13.940000000000001,52.90000000000002
projects,PUT,40,0.0021195769309997558,8.28,52.900000000000034
projects,PUT,50,0.001958737373352051,8.796,52.90000000000005
projects,PUT,100,0.0019723796844482422,8.148,52.89999999999996
projects,DELETE,1,0.001979827880859375,50.0,52.9
projects,DELETE,5,0.002060222625732422,6.659999999999999,52.9
projects,DELETE,8,0.0019355416297912598,4.1625,52.89999999999999
projects,DELETE,10,0.002209162712097168,12.62,52.89999999999999
projects,DELETE,20,0.002023446559906006,14.330000000000002,52.89999999999999
projects,DELETE,30,0.002128299077351888,18.65,52.90000000000002
projects,DELETE,40,0.002234441041946411,17.230000000000004,52.900000000000034
projects,DELETE,50,0.002412571907043457,21.676,52.90000000000005
projects,DELETE,100,0.0021058440208435057,13.336999999999998,52.92000000000004
