endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
projects/categories,POST,1,0.008348941802978516,0.0,54.6
projects/categories,POST,5,0.0022865772247314454,14.16,54.6
projects/categories,POST,8,0.0022439658641815186,17.8125,54.60000000000001
projects/categories,POST,10,0.002325606346130371,27.629999999999995,54.60000000000001
projects/categories,POST,20,0.0021567225456237795,14.13,54.60000000000001
projects/categories,POST,30,0.0020056645075480144,19.86,54.59999999999998
projects/categories,POST,40,0.0019136667251586914,10.1475,54.599999999999966
projects/categories,POST,50,0.001876850128173828,7.0,54.59999999999995
projects/categories,POST,100,0.00262192964553833,24.868999999999996,54.600000000000044
projects/categories,DELETE,1,0.0024759769439697266,0.0,54.6
projects/categories,DELETE,5,0.002497959136962891,18.0,54.6
projects/categories,DELETE,8,0.0023820102214813232,12.0875,54.60000000000001
projects/categories,DELETE,10,0.0023765087127685545,20.410000000000004,54.60000000000001
projects/categories,DELETE,20,0.002310073375701904,18.43,54.60000000000001
projects/categories,DELETE,30,0.0021960179011027018,10.54,54.59999999999998
projects/categories,DELETE,40,0.0021253407001495363,11.1875,54.599999999999966
projects/categories,DELETE,50,0.0018685626983642577,6.516,54.59999999999995
projects/categories,DELETE,100,0.0018967485427856445,8.248999999999999,54.600000000000044
