endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
todos,POST,1,0.008425235748291016,6.7,53.3
todos,POST,5,0.0023760318756103514,23.32,53.3
todos,POST,8,0.002166837453842163,16.1375,53.300000000000004
todos,POST,10,0.00206904411315918,14.16,53.3
todos,POST,20,0.0018948197364807128,5.165,53.299999999999976
todos,POST,30,0.00254669984181722,23.55666666666667,53.29999999999997
todos,POST,40,0.001968860626220703,7.4975000000000005,53.299999999999976
todos,POST,50,0.0019322776794433595,8.73,53.30000000000002
todos,POST,100,0.0026151680946350096,25.72499999999999,53.34399999999995
todos,PUT,1,0.002460956573486328,50.0,53.4
todos,PUT,5,0.002370882034301758,16.86,53.4
todos,PUT,8,0.0023138821125030518,18.5375,53.39999999999999
todos,PUT,10,0.002254486083984375,13.169999999999998,53.39999999999999
todos,PUT,20,0.0021031975746154787,10.094999999999999,53.39999999999999
todos,PUT,30,0.002298291524251302,16.773333333333333,53.40000000000002
todos,PUT,40,0.0021541357040405274,12.56,53.400000000000034
todos,PUT,50,0.0020386695861816405,10.502,53.40000000000005
todos,PUT,100,0.002010343074798584,8.767999999999999,53.39999999999996
todos,DELETE,1,0.0022661685943603516,0.0,53.4
todos,DELETE,5,0.002073860168457031,22.5,53.4
todos,DELETE,8,0.0019688010215759277,5.949999999999999,53.39999999999999
todos,DELETE,10,0.0019132614135742188,5.33,53.39999999999999
todos,DELETE,20,0.002441692352294922,9.59,53.39999999999999
todos,DELETE,30,0.002040719985961914,8.753333333333334,53.40000000000002
todos,DELETE,40,0.0018628239631652832,6.58,53.400000000000034
todos,DELETE,50,0.0018670797348022462,6.604,53.40000000000005
todos,DELETE,100,0.0018792891502380372,7.509000000000001,53.469000000000015
